model,n_seeds,trainable_params,acc_mean,acc_std,f1_mean,f1_std,auc_mean,auc_std,pr_auc_mean,pr_auc_std,balanced_acc_mean,balanced_acc_std,ece_mean,ece_std,brier_mean,brier_std
mobilenet_v2,5,2226434,0.9526315789473684,0.0044877204459824,0.9490088070105168,0.0043912286915528,0.9883960623917044,0.0025603260973057,0.9806375995418584,0.0084700319836307,0.9538845981376284,0.0039493378201272,0.0338468288118571,0.0105543469446222,0.0373839398687377,0.0046046802701474
resnet18,5,11177538,0.9522556390977444,0.0047180076684252,0.9482698173701714,0.0049407333861832,0.9887591896705704,0.0020687668034443,0.9855942570446562,0.0031653836068962,0.9529745581830444,0.0046685512849319,0.0311670544998067,0.0072095645688499,0.0385170446060391,0.0030717838657541
efficientnet_b0,5,4010110,0.950751879699248,0.0119918330133358,0.9475272551606168,0.011597796102127,0.9883318223556786,0.0033486103916171,0.9843267863253592,0.0056596866077968,0.9525662393437868,0.010205763061368,0.0379267112664462,0.0156247224828149,0.04100496692532,0.0108499413259332
cnn,5,389890,0.9312030075187973,0.0094547190526009,0.9235187647268874,0.0104570186995909,0.9825410979368404,0.0021265297371288,0.9788761892844504,0.0036641011869694,0.9296777112196069,0.0095834820989099,0.0362017123565544,0.0062433466459601,0.0506144842468431,0.0032075313499299
