comparison,mean_a,std_a,mean_b,std_b,mean_diff,t_p,wilcoxon_p
q_plasmanet_vs_cnn,0.9273351941517133,0.012705191658352896,0.9275819650242614,0.007616753475506888,-0.0002467708725480966,0.9707692197726627,1.0
q_plasmanet_vs_mlp,0.9273351941517133,0.012705191658352896,0.9323129944799268,0.00951514115140892,-0.004977800328213489,0.2787613624583638,0.4375
