comparison,t_stat,t_p,wilcoxon_stat,wilcoxon_p,mean_diff
q_vs_cnn,0.6203337670476984,0.5686330080344155,4.0,0.4375,0.003816429424825629
q_vs_mlp,-1.2520647963121656,0.2787613624583638,4.0,0.4375,-0.004977800328213489
