model,cell_auc,patient_auc,patient_auc_ci_lo,patient_auc_ci_hi,lopo_acc,lopo_sens,lopo_spec,ratio_corr_pred_vs_true
cnn,0.981,1.0,1.0,1.0,0.9,0.8,1.0,0.9883
q_plasmanet,0.9792,1.0,1.0,1.0,0.9,0.8,1.0,0.9865
