model,n_params,n_data,eff_dim,eff_dim_norm
q_plasmanet,178,1000,107.51892753605385,0.6040389187418755
q_plasmanet,178,10000,101.56350982236211,0.570581515855967
q_plasmanet,178,100000,99.7943220524432,0.560642258721591
q_plasmanet,178,1000000,98.9169206173665,0.5557130371762163
mlp_param_matched,191,1000,33.533942023292504,0.17557037708530107
mlp_param_matched,191,10000,35.45849787842079,0.1856465857508942
mlp_param_matched,191,100000,39.84566413517808,0.20861604259255542
mlp_param_matched,191,1000000,44.34616457085191,0.2321788720987011
