omega,linear_probe_auc,logistic_f1,logistic_f1_std,mlp_matched_f1,mlp_matched_f1_std,q_reupload_f1,q_reupload_f1_std,gap_mlp_vs_lin,gap_q_vs_lin,gap_q_vs_mlp
0.5,0.9971590789963131,0.9699755262717599,0.004308645588835355,0.9553464987153296,0.009734951523978417,0.8101906273471322,0.062075788765507275,-0.014629027556430252,-0.15978489892462766,-0.1451558713681974
1.0,0.9628379183556708,0.893930530459909,0.013615657790717718,0.8850626993695115,0.016552176774751595,0.7492859089798546,0.08525135734515317,-0.00886783109039746,-0.14464462148005441,-0.13577679038965695
2.0,0.7710587282482443,0.6989188997374618,0.011782219336320345,0.6989339518770908,0.0355957048315123,0.6758919329741172,0.02913323724165122,1.5052139629045946e-05,-0.023026966763344592,-0.023042018902973638
3.0,0.6551811623357887,0.6105312263360074,0.025341852963059103,0.6513535504582718,0.016787903374952295,0.6010469400683698,0.014182124116130618,0.040822324122264386,-0.009484286267637643,-0.05030661038990203
4.0,0.5777198435704133,0.5477550188779126,0.03503432769262978,0.5510647168833727,0.025530174293299266,0.5273340737333599,0.01387689698489163,0.0033096980054601044,-0.020420945144552616,-0.02373064315001272
6.0,0.5212874279669284,0.5016492510432395,0.0332194912943102,0.539152447220085,0.017515558517348546,0.5090697580184134,0.027700218024308172,0.0375031961768455,0.007420506975173824,-0.030082689201671675
