n_qubits,depth,grad_var,grad_mean,log10_var
2,1,0.0,0.0,-300.0
4,1,0.051706472674295914,0.004715137197248017,-1.2864550880322172
6,1,0.005314292201244448,-0.014384426889713116,-2.2745545700049226
8,1,0.0005610047148416169,0.0002888597349433771,-3.2510334887953665
2,2,0.0,0.0,-300.0
4,2,0.06910909152519816,-0.034867150081360404,-1.1604648160194067
6,2,0.021943446102233238,0.006231285285321064,-1.6586951677522175
8,2,0.010195752416197402,0.021977854060120688,-1.9915807190623989
2,4,0.0,0.0,-300.0
4,4,0.05213129399077416,0.009163757211839159,-1.2829014949832396
6,4,0.014902602188059694,0.024042232063463113,-1.8267378915043038
8,4,0.0035895340575863854,0.012160373238293687,-2.4449619217147327
