model,clean_acc,mean_corrupt_acc,retained_acc_ratio,mean_acc_drop
q_plasmanet,0.9330827067669173,0.8451629072681706,0.9057749127048081,0.08791979949874673
cnn,0.9330827067669173,0.8449248120300752,0.9055197421434327,0.0881578947368421
