omega,linear_probe_auc,logistic_f1,logistic_f1_std,mlp_matched_f1,mlp_matched_f1_std,q_reupload_f1,q_reupload_f1_std,gap_mlp_vs_lin,gap_q_vs_lin,gap_q_vs_mlp
0.5,0.9973950254026117,0.9697041976111743,0.0029335063625258785,0.9608103927107585,0.00586635079767624,0.8542885066133034,0.033595382140199144,-0.008893804900415803,-0.11541569099787097,-0.10652188609745517
1.0,0.9636809794780209,0.8925483021675067,0.015908019761919787,0.881693484938921,0.020595095491464266,0.783611877120511,0.021906873381541306,-0.010854817228585723,-0.10893642504699574,-0.09808160781841002
2.0,0.772404898970759,0.7019375339068433,0.007266588772693123,0.6834158235653223,0.038232473380384324,0.6631483409718986,0.02924467973161463,-0.018521710341521058,-0.03878919293494476,-0.020267482593423702
3.0,0.6850863329118182,0.6288548343409495,0.015105880998061889,0.6620450730296644,0.012859554974371664,0.5981308577662015,0.014291575251701131,0.03319023868871496,-0.030723976574748013,-0.06391421526346297
4.0,0.5767348710322953,0.5330308515690078,0.032766928611251134,0.5633365076859811,0.019141374827025354,0.523349355857483,0.016760764101117674,0.030305656116973334,-0.009681495711524768,-0.0399871518284981
6.0,0.5034852698646651,0.4780498097076273,0.015452229372468682,0.5270485654946286,0.010653641030825892,0.4876077756150143,0.009831058946089091,0.04899875578700136,0.009557965907387,-0.03944078987961436
