qubits,depth,entanglement,encoding,n_seeds,params,acc_mean,acc_std,f1_mean,f1_std,auc_mean,auc_std,pr_auc_mean,pr_auc_std,balanced_acc_mean,balanced_acc_std,ece_mean,ece_std,brier_mean,brier_std
8,4,full,angle,5,114,0.8124060150375941,0.012567304248456234,0.7873205924309217,0.017854865564184697,0.8850513694054459,0.013429725710885061,0.8700096257452937,0.012190911438558412,0.8084031174352837,0.013926884288977854,0.04442313685391756,0.007875805602584716,0.13621735897742443,0.00816566019366409
8,2,full,angle,5,66,0.8018796992481203,0.009170158584699611,0.7816436256212511,0.016885341121173944,0.8785360268597365,0.011150800533961032,0.8687160981156683,0.014773851870102692,0.8001369098863673,0.01130392819429718,0.05638702450901326,0.012847882113451106,0.14131652063293015,0.005345605959497173
8,4,circular,angle,5,114,0.7984962406015037,0.018049028397229806,0.775075089765853,0.024627249525446874,0.8869511048978194,0.018406772522550956,0.8722289063709951,0.0201905752547124,0.7957013175727583,0.019551008079769457,0.04440287035606326,0.00865355364577637,0.13529642204978348,0.01149647949001173
6,4,full,angle,5,86,0.7988721804511278,0.014003444009164798,0.774251840609464,0.012885762407883238,0.8809282844178032,0.014525093540313191,0.8743089045680035,0.012036543609747647,0.7954652811487113,0.012860240771609972,0.05082390228149838,0.006968043712495727,0.13909216992435988,0.007699415480129341
6,4,linear,angle,5,86,0.7992481203007518,0.028301804571602095,0.7722327462086213,0.03540352891597482,0.8784409209928331,0.023833720616004264,0.8714217613608042,0.016002166706420802,0.7951641181364135,0.029579310852033924,0.04483195866013463,0.0067241172897188825,0.13964776455167122,0.01372394554604331
8,4,linear,angle,5,114,0.8015037593984962,0.012927630724849173,0.7698661500261141,0.01741626696546278,0.8797309883943794,0.01527296033895089,0.8707674260294418,0.019475122183022955,0.7956131896067705,0.013835860592826375,0.04551671523070384,0.004814534553366938,0.1386059776698374,0.009278507866191221
6,4,circular,angle,5,86,0.7962406015037594,0.01378730888788892,0.769203977709942,0.018326022168987557,0.8798358975071935,0.020419002220355115,0.8674807586720881,0.0240605251152989,0.7922024904192241,0.01433309643794314,0.05582990988257912,0.011890001292913134,0.14029908100048347,0.01207589008294199
6,2,full,angle,5,50,0.7770676691729325,0.0187310874712077,0.7501198580073067,0.027701723695382877,0.8544296150760026,0.01280475233594744,0.8376198526469253,0.011438288772532995,0.773796044202917,0.02087410382033174,0.04416819455004052,0.003362059025900237,0.1541993373086819,0.0065535764415509574
8,1,full,angle,5,42,0.7706766917293233,0.023477436084204512,0.739279470930709,0.02598699911726485,0.8394913896105745,0.02142890131641014,0.8241103443632107,0.028202979117131488,0.7660410345082023,0.02327389617330861,0.06684258669243662,0.012271605815597445,0.16157189928156995,0.010402186507767369
8,2,circular,angle,5,66,0.7736842105263159,0.01140282021661887,0.7383906423088169,0.016595234759765282,0.8519520560737648,0.01532038030621669,0.8471590234048889,0.012853737489673316,0.767822011973767,0.011992802569420945,0.051462143520243406,0.00863683515104013,0.15436292229904733,0.007039286954926918
6,2,circular,angle,5,50,0.7736842105263159,0.02198525040182476,0.7383366930468097,0.0301724343645712,0.8434023333273803,0.03134484173358911,0.8382911835811502,0.02933922272453038,0.7679173150191049,0.023453249820422385,0.05813047498923243,0.010878840495531426,0.15896617148830824,0.014990342525757549
6,2,linear,angle,5,50,0.7725563909774437,0.018749941112086464,0.732041398564971,0.028265946767981904,0.8458858685121433,0.02280647227532397,0.8348011253649753,0.02061831952174432,0.7652957734346011,0.020656487653063122,0.05302440309722004,0.00777713237078469,0.15792040418766756,0.011159556839371363
8,2,linear,angle,5,66,0.7721804511278196,0.023265787137993703,0.7294286948467491,0.03018871648189839,0.8575279267298734,0.017890829011898108,0.8503775596326373,0.02107835177702017,0.7642236232238993,0.024210746914633163,0.05834306111385087,0.006818457155498263,0.15147282980909435,0.010365537873709163
6,1,full,angle,5,32,0.749624060150376,0.02833299801716812,0.7096116095558724,0.04028174849354129,0.8154758171484799,0.024295223609063075,0.8005004216345956,0.01897918237487554,0.7434473460515167,0.03036960424648138,0.05394845815914634,0.00754248838868872,0.17350364269470414,0.010496337665739644
4,4,circular,angle,5,58,0.7304511278195489,0.03227394891930039,0.7080744745057826,0.025642784405065018,0.8122849328369632,0.027964554782921102,0.7841160744539806,0.0235385241107575,0.7292807383577994,0.02963840071891523,0.05783550606312271,0.022559624228501513,0.17728745380811367,0.014445123769287457
4,4,linear,angle,5,58,0.737593984962406,0.019606623775045542,0.6991397274582918,0.03081982325509325,0.8084058485939967,0.031051879852811905,0.7809872147112021,0.02695060754890003,0.7321945517046027,0.02158545212187481,0.06005640891695717,0.012663689711158123,0.17817516553549123,0.01538723482348381
4,4,full,angle,5,58,0.724436090225564,0.036122518447191915,0.6927260706511443,0.04886193480734448,0.8045727237670173,0.037661527569962806,0.7721135998278508,0.03311044285120188,0.7213650583898342,0.037501005089313894,0.054811959047066525,0.005843997634650856,0.17989562422216293,0.017244134511381952
4,2,full,angle,5,34,0.7203007518796992,0.011072689078964743,0.6847210132314425,0.01851465496098832,0.7922332467245624,0.027381262610354302,0.7693480506114653,0.024257254392452566,0.715988776257759,0.012683733750201005,0.06246344485089071,0.028408415511288573,0.18519154075164282,0.012093694627244644
