backbone,dim,linear_probe_f1,linear_probe_acc,linear_probe_auc,participation_ratio,var_in_2pc
cnn,24,0.9177,0.9248,0.981,19.737,0.1997
resnet18,24,0.8267,0.844,0.9123,21.533,0.1469
